,标题,学校,门类/专业,招生人数,发布时间,链接
0,机械工程调剂（学硕）,温州大学,工学 -> 机械工程  ,6,2020-04-10 22:02,http://muchong.com/t-14185957-1
1,211 华南师范大学 光学/电磁场/半导体物理与器件 调剂1个名额,华南师范大学,工学 -> 光学工程  -> 光学,1,2020-04-10 21:19,http://muchong.com/t-14185879-1
2,浙江理工大学纳米能源与柔性器件课题组招生,浙江理工,工学   ,3,2020-04-10 19:08,http://muchong.com/t-14185704-1
3,广东省江门市五邑大学纺织材料与工程学院接收调剂研究生,五邑大学,工学 -> 纺织科学与工程  ,26,2020-04-10 18:27,http://muchong.com/t-14185650-1
4,大连交通大学化工、环境、材料类调剂生与大连化物所联合培养,大连交大,工学 -> 化学工程与技术  -> 化学工程,10,2020-04-10 18:03,http://muchong.com/t-14185617-1
5,2020年五邑大学――复试在即，先进功能材料团队接收调剂研究生,五邑大学,工学 -> 化学工程与技术  -> 化学工程,10,2020-04-10 17:41,http://muchong.com/t-14185595-1
6,重庆科技学院王丽萍团队招收土木调剂生,重庆科技学院,工学 -> 土木工程  -> 防灾减灾工程及防护工程,100,2020-04-10 17:22,http://muchong.com/t-14185568-1
7,调剂,东北林大,工学   ,2,2020-04-10 17:00,http://muchong.com/t-14185532-1
8,大连交大接收调剂研究生,大连交大,工学 -> 环境科学与工程  -> 环境工程,10,2020-04-10 14:58,http://muchong.com/t-14185244-1
9,重庆科技学院智慧建造与可持续建设研究团队接收调剂硕士生,重庆科技学院,工学 -> 工程[专]  -> 建筑与土木工程,50,2020-04-10 14:22,http://muchong.com/t-14185163-1
10,五邑大学化学与材料硕士点招收调剂研究生（学硕，专硕都可以）,五邑大学,工学 -> 化学工程与技术  ,2,2020-04-10 13:39,http://muchong.com/t-14185088-1
11,重庆科技学院道桥团队招收土木工程等相关专业调剂硕士生,重庆科技学院,工学 -> 工程[专]  -> 建筑与土木工程,30,2020-04-10 12:16,http://muchong.com/t-14184995-1
12,佳木斯大学计算机应用硕士点招收调剂研究生（学硕，英一数一，过A区线）,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-04-10 12:11,http://muchong.com/t-14184981-1
13,佳木斯大学计算机应用硕士点招收研究生信息,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-04-10 12:04,http://muchong.com/t-14184977-1
14,佳木斯大学计算机应用硕士点201实验室招收调剂研究生,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-04-10 12:00,http://muchong.com/t-14184974-1
15,福建工程学院 材料科学与工程学院 智能材料实验室招收调剂硕士生,福建工程学院,工学 -> 材料科学与工程  ,3,2020-04-10 11:23,http://muchong.com/t-14184872-1
16,江苏大学能源研究院燃料电池组招收化学化工方向调剂研究生,江苏大学,工学 -> 化学工程与技术  -> 化学工程,3,2020-04-10 10:48,http://muchong.com/t-14184786-1
17,南昌航空大学接受材料类、物理类调剂生,南昌航空大学,工学 -> 材料科学与工程  ,3,2020-04-10 10:42,http://muchong.com/t-14184769-1
18,2020年佳木斯大学材料科学与工程学院学硕预调剂信息公告,佳木斯大学,工学 -> 材料科学与工程  -> 材料物理与化学,0,2020-04-10 10:21,http://muchong.com/t-14184712-1
19,南昌大学能源与动力工程系招收调剂研究生,南昌大学,工学 -> 动力工程及工程热物理  -> 工程热物理,2,2020-04-10 10:09,http://muchong.com/t-14184689-1
20,调剂招生,沈阳化工,工学 -> 光学工程  ,1,2020-04-10 09:27,http://muchong.com/t-14184621-1
21,重庆大学-悉尼科技大学（UTS）人工智能中心联合招生【长期有效】,重庆大学,工学   ,15,2020-04-10 08:10,http://muchong.com/t-14184513-1
22,赣南师范大学电子科学与技术专业接收学术型硕士研究生调剂,赣南师范学院,工学 -> 电子科学与技术  -> 物理电子学,4,2020-04-10 07:46,http://muchong.com/t-14184496-1
23,大连工大接收调剂研究生,大连工大,工学 -> 轻工技术与工程  -> 制浆造纸工程,2,2020-04-09 23:24,http://muchong.com/t-14184318-1
